,name,company,year,price,kms_driven,fuel_type
125,Lime,Lime,2017,200,300.0,kg
126,Pomegranate,Pomegranate,2011,200,210.0,kg
127,Mango(Maldah),Mango(Maldah),2007,50,55.0,kg
128,Grapes(Green),Grapes(Green),2018,250,255.0,kg
129,Water Melon(Green),Water Melon(Green),2013,14,15.0,kg
130,Sweet Orange,Sweet Orange,2015,90,95.0,kg
131,Pineapple,Pineapple,2015,60,65.0,kg
132,Cucumber(Local),Cucumber(Local),2009,25,27.5,kg
133,Jack Fruit,Jack Fruit,2010,20,22.5,kg
134,Papaya(Nepali),Papaya(Nepali),2016,60,65.0,kg
135,Sugarcane,Sugarcane,2009,60,65.0,kg
136,Ginger,Ginger,2013,140,145.0,kg
137,Chilli Dry,Chilli Dry,2006,170,175.0,kg
138,Chilli Green,Chilli Green,2018,30,35.0,kg
139,Capsicum,Capsicum,2000,55,57.5,kg
140,Garlic Green,Garlic Green,2010,45,47.5,kg
141,Coriander Green,Coriander Green,2012,90,95.0,kg
142,Garlic Dry Chinese,Garlic Dry Chinese,2012,100,105.0,kg
143,Garlic Dry Nepali,Garlic Dry Nepali,2014,50,55.0,kg
144,Clive Dry,Clive Dry,2015,70,75.0,kg
145,Clive Green,Clive Green,2014,50,55.0,kg
146,Fish Fresh,Fish Fresh,2015,210,215.0,kg
147,Tomato Big(Nepali),Tomato Big(Nepali),2014,25,27.5,kg
148,Tomato Small(Local),Tomato Small(Local),2015,22,24.0,kg
149,Potato Red,Potato Red,2012,19,19.5,kg
150,Potato White,Potato White,2018,15,15.5,kg
151,Onion Dry (Indian),Onion Dry (Indian),2016,33,34.0,kg
152,Carrot(Local),Carrot(Local),2013,35,37.5,kg
153,Cabbage(Local),Cabbage(Local),2017,8,9.0,kg
154,Cauli Local,Cauli Local,2014,25,27.5,kg
155,Raddish Red,Raddish Red,2011,35,37.5,kg
156,Raddish White(Local),Raddish White(Local),2018,30,32.5,kg
157,Brinjal Long,Brinjal Long,2010,20,22.5,kg
158,Brinjal Round,Brinjal Round,2016,25,27.5,kg
159,Cow pea(Long),Cow pea(Long),2010,25,27.5,kg
160,Green Peas,Green Peas,2012,55,57.5,kg
161,French Bean(Local),French Bean(Local),2010,30,32.5,kg
162,Soyabean Green,Soyabean Green,2013,55,57.5,kg
163,Bitter Gourd,Bitter Gourd,2014,16,19.0,kg
164,Bottle Gourd,Bottle Gourd,2010,22,23.0,kg
165,Pointed Gourd(Local),Pointed Gourd(Local),2011,30,32.5,kg
166,Snake Gourd,Snake Gourd,2011,30,32.5,kg
167,Smooth Gourd,Smooth Gourd,2012,20,22.5,kg
168,Pumpkin,Pumpkin,2014,18,19.0,kg
169,Squash(Long),Squash(Long),2011,18,19.0,kg
170,Turnip,Turnip,2015,45,47.5,kg
171,Okara,Okara,2014,20,22.5,kg
172,Christophine,Christophine,2011,40,42.5,kg
173,Brd Leaf Mustard,Brd Leaf Mustard,2013,40,42.5,kg
174,Spinach Leaf,Spinach Leaf,2015,45,47.5,kg
175,Cress Leaf,Cress Leaf,2014,45,47.5,kg
176,Mustard Leaf,Mustard Leaf,2012,35,37.5,kg
177,Fenugreek Leaf,Fenugreek Leaf,2011,40,42.5,kg
178,Onion Green,Onion Green,2013,35,37.5,kg
179,Mushroom(Kanya),Mushroom(Kanya),2015,180,190.0,kg
180,Asparagus,Asparagus,2012,100,110.0,kg
181,Neuro,Neuro,2014,50,55.0,kg
182,Brocauli,Brocauli,2009,70,75.0,kg
183,Sugarbeet,Sugarbeet,2016,35,37.5,kg
184,Drumstick,Drumstick,2015,35,37.5,kg
185,Lettuce,Lettuce,2013,35,37.5,kg
186,Celery,Celery,2008,120,125.0,kg
187,Parseley,Parseley,2011,180,190.0,kg
188,Fennel Leaf,Fennel Leaf,2013,40,42.5,kg
189,Mint,Mint,2005,120,125.0,kg
190,Turnip A,Turnip A,2016,45,47.5,kg
191,Tamarind,Tamarind,2000,65,67.5,kg
192,Bamboo Shoot,Bamboo Shoot,2015,50,55.0,kg
193,Tofu,Tofu,2017,55,57.5,kg
194,Apple(Jholey),Apple(Jholey),2007,110,115.0,kg
195,Banana,Banana,2012,70,75.0,kg
196,Lime,Lime,2006,200,300.0,kg
197,Pomegranate,Pomegranate,2011,200,210.0,kg
198,Mango(Maldah),Mango(Maldah),2011,50,55.0,kg
199,Grapes(Green),Grapes(Green),2013,250,255.0,kg
200,Water Melon(Green),Water Melon(Green),2013,12,13.5,kg
201,Sweet Orange,Sweet Orange,2009,90,95.0,kg
202,Pineapple,Pineapple,2006,60,65.0,kg
203,Cucumber(Local),Cucumber(Local),2012,25,27.5,kg
204,Papaya(Nepali),Papaya(Nepali),2010,55,57.5,kg
205,Sugarcane,Sugarcane,2010,50,55.0,kg
206,Ginger,Ginger,2009,140,145.0,kg
207,Chilli Dry,Chilli Dry,2015,170,175.0,kg
208,Chilli Green,Chilli Green,2013,35,37.5,kg
209,Capsicum,Capsicum,2014,55,57.5,kg
210,Garlic Green,Garlic Green,2015,45,47.5,kg
211,Coriander Green,Coriander Green,2012,90,95.0,kg
212,Garlic Dry Chinese,Garlic Dry Chinese,2019,100,105.0,kg
213,Garlic Dry Nepali,Garlic Dry Nepali,2012,50,55.0,kg
214,Clive Dry,Clive Dry,2013,70,75.0,kg
215,Clive Green,Clive Green,2015,50,55.0,kg
216,Fish Fresh,Fish Fresh,2012,210,215.0,kg
217,Tomato Big(Nepali),Tomato Big(Nepali),2019,25,27.5,kg
218,Tomato Small(Local),Tomato Small(Local),2015,24,26.0,kg
219,Potato Red,Potato Red,2018,20,20.5,kg
220,Potato White,Potato White,2011,15,15.5,kg
221,Onion Dry (Indian),Onion Dry (Indian),2015,34,34.5,kg
222,Carrot(Local),Carrot(Local),2008,38,40.0,kg
223,Cabbage(Local),Cabbage(Local),2006,10,12.5,kg
224,Cauli Local,Cauli Local,2016,25,27.5,kg
225,Raddish Red,Raddish Red,2016,35,37.5,kg
226,Raddish White(Local),Raddish White(Local),2015,30,32.5,kg
227,Brinjal Long,Brinjal Long,2009,22,24.0,kg
228,Brinjal Round,Brinjal Round,2015,25,27.5,kg
229,Cow pea(Long),Cow pea(Long),2015,25,27.5,kg
230,Green Peas,Green Peas,2017,55,57.5,kg
231,French Bean(Local),French Bean(Local),2014,30,32.5,kg
232,Soyabean Green,Soyabean Green,2014,55,57.5,kg
233,Bitter Gourd,Bitter Gourd,2016,20,22.5,kg
234,Bottle Gourd,Bottle Gourd,2016,18,19.0,kg
235,Pointed Gourd(Local),Pointed Gourd(Local),2016,30,32.5,kg
236,Snake Gourd,Snake Gourd,2016,25,27.5,kg
237,Smooth Gourd,Smooth Gourd,2014,20,22.5,kg
238,Sponge Gourd,Sponge Gourd,2013,40,42.5,kg
239,Pumpkin,Pumpkin,2012,18,19.0,kg
240,Squash(Long),Squash(Long),2015,15,17.5,kg
241,Turnip,Turnip,2015,45,47.5,kg
242,Okara,Okara,2009,35,37.5,kg
243,Christophine,Christophine,2015,35,37.5,kg
244,Brd Leaf Mustard,Brd Leaf Mustard,2015,40,42.5,kg
245,Spinach Leaf,Spinach Leaf,2015,40,42.5,kg
246,Cress Leaf,Cress Leaf,2013,40,42.5,kg
247,Mustard Leaf,Mustard Leaf,2017,35,37.5,kg
248,Fenugreek Leaf,Fenugreek Leaf,2013,40,42.5,kg
249,Onion Green,Onion Green,2013,40,42.5,kg
250,Mushroom(Kanya),Mushroom(Kanya),2012,180,190.0,kg
251,Asparagus,Asparagus,2013,100,112.5,kg
252,Neuro,Neuro,2003,40,45.0,kg
253,Brocauli,Brocauli,2006,70,75.0,kg
254,Sugarbeet,Sugarbeet,2015,45,47.5,kg
255,Red Cabbbage,Red Cabbbage,2013,70,75.0,kg
256,Lettuce,Lettuce,2012,55,57.5,kg
257,Celery,Celery,2014,120,125.0,kg
258,Parseley,Parseley,2015,180,185.0,kg
